"","activity1","builtin1","communication1","entertainment1","finance1","game1","office1","other1","social1","travel1","unknown1","utilities1","weather1","call1","arousal1","valence1","mood1","screen1","sms1","activity2","builtin2","communication2","entertainment2","finance2","game2","office2","other2","social2","travel2","unknown2","utilities2","weather2","call2","arousal2","valence2","mood2","screen2","sms2","activity3","builtin3","communication3","entertainment3","finance3","game3","office3","other3","social3","travel3","unknown3","utilities3","weather3","call3","arousal3","valence3","mood3","screen3","sms3","activity4","builtin4","communication4","entertainment4","finance4","game4","office4","other4","social4","travel4","unknown4","utilities4","weather4","call4","arousal4","valence4","mood4","screen4","sms4","activity5","builtin5","communication5","entertainment5","finance5","game5","office5","other5","social5","travel5","unknown5","utilities5","weather5","call5","arousal5","valence5","mood5","screen5","sms5","target"
"26",0.101308321670076,1167.497,8988.753,910.479,52.331,0,0,97.498,4592.059,0,0,33.365,0,0,-0.2,0.6,6.6,16423.8010003567,0,0.159510640969097,1229.327,6936.512,639.339,42.219,0,182.451,58.532,935.381,47.314,0,179.029,0,2,0.2,0.8,7,17442.1499993801,1,0.0956980216371201,10062.595,866.833,1005.403,89.166,233.036,0,225.951,512.741,1133.009,0,301.717,0,5,-0.6,0.6,6.4,4923.48899960518,0,0.0682028101018696,1952.63,2720.692,1627.429,0,0,0,169.594,472.888,52.435,0,600.637,0,4,0.2,1,8,8322.6219997406,1,0.049092970521542,414.365,1298.505,1535.677,0,0,0,74.003,167.685,0,66.477,38.296,0,0,-0.5,0.75,7.5,4523.21400094033,0,7.4
"27",0.159510640969097,1229.327,6936.512,639.339,42.219,0,182.451,58.532,935.381,47.314,0,179.029,0,2,0.2,0.8,7,17442.1499993801,1,0.0956980216371201,10062.595,866.833,1005.403,89.166,233.036,0,225.951,512.741,1133.009,0,301.717,0,5,-0.6,0.6,6.4,4923.48899960518,0,0.0682028101018696,1952.63,2720.692,1627.429,0,0,0,169.594,472.888,52.435,0,600.637,0,4,0.2,1,8,8322.6219997406,1,0.049092970521542,414.365,1298.505,1535.677,0,0,0,74.003,167.685,0,66.477,38.296,0,0,-0.5,0.75,7.5,4523.21400094033,0,0.0705054808833896,2961.405,5332.637,1758.92,41.255,51.176,0,268.554,1350.655,183.381,29.29,210.305,0,6,0,0.6,7.4,11836.834000349,0,6
"28",0.0956980216371201,10062.595,866.833,1005.403,89.166,233.036,0,225.951,512.741,1133.009,0,301.717,0,5,-0.6,0.6,6.4,4923.48899960518,0,0.0682028101018696,1952.63,2720.692,1627.429,0,0,0,169.594,472.888,52.435,0,600.637,0,4,0.2,1,8,8322.6219997406,1,0.049092970521542,414.365,1298.505,1535.677,0,0,0,74.003,167.685,0,66.477,38.296,0,0,-0.5,0.75,7.5,4523.21400094033,0,0.0705054808833896,2961.405,5332.637,1758.92,41.255,51.176,0,268.554,1350.655,183.381,29.29,210.305,0,6,0,0.6,7.4,11836.834000349,0,0.118443242712736,1385.517,6095.526,1030.637,547.826,234.741,92.388,121.19,5040.067,1614.621,0,517.636,0,1,0.2,0,6,17173.9060020447,0,6.5
"29",0.0682028101018696,1952.63,2720.692,1627.429,0,0,0,169.594,472.888,52.435,0,600.637,0,4,0.2,1,8,8322.6219997406,1,0.049092970521542,414.365,1298.505,1535.677,0,0,0,74.003,167.685,0,66.477,38.296,0,0,-0.5,0.75,7.5,4523.21400094033,0,0.0705054808833896,2961.405,5332.637,1758.92,41.255,51.176,0,268.554,1350.655,183.381,29.29,210.305,0,6,0,0.6,7.4,11836.834000349,0,0.118443242712736,1385.517,6095.526,1030.637,547.826,234.741,92.388,121.19,5040.067,1614.621,0,517.636,0,1,0.2,0,6,17173.9060020447,0,0.101916610638223,3614.349,6920.156,1343.376,247.777,0,90.481,541.541,3428.792,0,0,341.371,0,4,0.333333333333333,0.666666666666667,6.5,21358.510999918,0,6.4
"30",0.049092970521542,414.365,1298.505,1535.677,0,0,0,74.003,167.685,0,66.477,38.296,0,0,-0.5,0.75,7.5,4523.21400094033,0,0.0705054808833896,2961.405,5332.637,1758.92,41.255,51.176,0,268.554,1350.655,183.381,29.29,210.305,0,6,0,0.6,7.4,11836.834000349,0,0.118443242712736,1385.517,6095.526,1030.637,547.826,234.741,92.388,121.19,5040.067,1614.621,0,517.636,0,1,0.2,0,6,17173.9060020447,0,0.101916610638223,3614.349,6920.156,1343.376,247.777,0,90.481,541.541,3428.792,0,0,341.371,0,4,0.333333333333333,0.666666666666667,6.5,21358.510999918,0,0.0492384727084411,2321.464,14438.082,1293.631,76.234,0,0,213.902,3154.241,19.082,0,182.772,0,4,-1.2,0,6.4,21401.8350007534,0,6.2
"31",0.0705054808833896,2961.405,5332.637,1758.92,41.255,51.176,0,268.554,1350.655,183.381,29.29,210.305,0,6,0,0.6,7.4,11836.834000349,0,0.118443242712736,1385.517,6095.526,1030.637,547.826,234.741,92.388,121.19,5040.067,1614.621,0,517.636,0,1,0.2,0,6,17173.9060020447,0,0.101916610638223,3614.349,6920.156,1343.376,247.777,0,90.481,541.541,3428.792,0,0,341.371,0,4,0.333333333333333,0.666666666666667,6.5,21358.510999918,0,0.0492384727084411,2321.464,14438.082,1293.631,76.234,0,0,213.902,3154.241,19.082,0,182.772,0,4,-1.2,0,6.4,21401.8350007534,0,0.126689311207326,1957.829,5481.628,1545.227,0,0,0,176.801,2086.197,158.241,0,128.692,0,2,0.2,0.4,6.2,12379.4110000134,1,6.8
"32",0.118443242712736,1385.517,6095.526,1030.637,547.826,234.741,92.388,121.19,5040.067,1614.621,0,517.636,0,1,0.2,0,6,17173.9060020447,0,0.101916610638223,3614.349,6920.156,1343.376,247.777,0,90.481,541.541,3428.792,0,0,341.371,0,4,0.333333333333333,0.666666666666667,6.5,21358.510999918,0,0.0492384727084411,2321.464,14438.082,1293.631,76.234,0,0,213.902,3154.241,19.082,0,182.772,0,4,-1.2,0,6.4,21401.8350007534,0,0.126689311207326,1957.829,5481.628,1545.227,0,0,0,176.801,2086.197,158.241,0,128.692,0,2,0.2,0.4,6.2,12379.4110000134,1,0.119002302203446,15159.19,1885.409,76.369,0,0,0,81.133,363.208,187.945,0,118.956,0,0,-0.4,0.6,6.8,3340.43099999428,0,6.5
"33",0.101916610638223,3614.349,6920.156,1343.376,247.777,0,90.481,541.541,3428.792,0,0,341.371,0,4,0.333333333333333,0.666666666666667,6.5,21358.510999918,0,0.0492384727084411,2321.464,14438.082,1293.631,76.234,0,0,213.902,3154.241,19.082,0,182.772,0,4,-1.2,0,6.4,21401.8350007534,0,0.126689311207326,1957.829,5481.628,1545.227,0,0,0,176.801,2086.197,158.241,0,128.692,0,2,0.2,0.4,6.2,12379.4110000134,1,0.119002302203446,15159.19,1885.409,76.369,0,0,0,81.133,363.208,187.945,0,118.956,0,0,-0.4,0.6,6.8,3340.43099999428,0,0.0644077994424681,4548.662,3355.743,187.214,0,114.406,0,119.12,321.46,0,0,46.249,0,4,-0.75,0.5,6.5,7467.32199978828,0,6.5
"34",0.0492384727084411,2321.464,14438.082,1293.631,76.234,0,0,213.902,3154.241,19.082,0,182.772,0,4,-1.2,0,6.4,21401.8350007534,0,0.126689311207326,1957.829,5481.628,1545.227,0,0,0,176.801,2086.197,158.241,0,128.692,0,2,0.2,0.4,6.2,12379.4110000134,1,0.119002302203446,15159.19,1885.409,76.369,0,0,0,81.133,363.208,187.945,0,118.956,0,0,-0.4,0.6,6.8,3340.43099999428,0,0.0644077994424681,4548.662,3355.743,187.214,0,114.406,0,119.12,321.46,0,0,46.249,0,4,-0.75,0.5,6.5,7467.32199978828,0,0.0506706211743179,927.377,7355.015,447.121,46.128,0,17.107,170.348,1475.418,60.247,0,205.811,0,1,-0.666666666666667,0.25,6.5,9846.38099980354,0,6.6
"35",0.126689311207326,1957.829,5481.628,1545.227,0,0,0,176.801,2086.197,158.241,0,128.692,0,2,0.2,0.4,6.2,12379.4110000134,1,0.119002302203446,15159.19,1885.409,76.369,0,0,0,81.133,363.208,187.945,0,118.956,0,0,-0.4,0.6,6.8,3340.43099999428,0,0.0644077994424681,4548.662,3355.743,187.214,0,114.406,0,119.12,321.46,0,0,46.249,0,4,-0.75,0.5,6.5,7467.32199978828,0,0.0506706211743179,927.377,7355.015,447.121,46.128,0,17.107,170.348,1475.418,60.247,0,205.811,0,1,-0.666666666666667,0.25,6.5,9846.38099980354,0,0.0753270582613485,892.689,9477.553,3466.479,19.131,0,0,209.514,2655.121,0,0,36.143,0,1,-0.4,0.333333333333333,6.6,15101.1320018768,0,7.4
"36",0.119002302203446,15159.19,1885.409,76.369,0,0,0,81.133,363.208,187.945,0,118.956,0,0,-0.4,0.6,6.8,3340.43099999428,0,0.0644077994424681,4548.662,3355.743,187.214,0,114.406,0,119.12,321.46,0,0,46.249,0,4,-0.75,0.5,6.5,7467.32199978828,0,0.0506706211743179,927.377,7355.015,447.121,46.128,0,17.107,170.348,1475.418,60.247,0,205.811,0,1,-0.666666666666667,0.25,6.5,9846.38099980354,0,0.0753270582613485,892.689,9477.553,3466.479,19.131,0,0,209.514,2655.121,0,0,36.143,0,1,-0.4,0.333333333333333,6.6,15101.1320018768,0,0.120384114532329,1638.617,6177.076,940.77,0,0,0,346.654,2826.35,0,0,577.359,0,4,-0.8,1,7.4,13558.289000988,0,7.4
